chrom	start	end	hgnc_symbol	hgnc_id	region_type
chr6	144007487	144008719	PLAGL1	9046	nanoimprint
chr7	50782178	50783005	GRB10	4564	nanoimprint
chr7	130490866	130493279	MEST	7028	nanoimprint
chr11	1997761	2003229	IGF2	5466	nanoimprint
chr11	2698767	2700902	KCNQ1OT1	6295	nanoimprint
chr14	100809335	100811397	MEG3	14575	nanoimprint
chr14	100824187	100827641	MEG3	14575	nanoimprint
chr14	100904568	100904952	MEG8	14574	nanoimprint
chr15	23647363	23648635	MAGEL2	6814	nanoimprint
chr15	24954857	24956829	SNURF	11171	nanoimprint
chr19	56837125	56841599	PEG3	8826	nanoimprint
chr20	58838984	58843557	GNAS	4392	nanoimprint
chr20	58850594	58852978	GNAS-AS1	24872	nanoimprint
chr20	58853961	58856408	GNAS	4392	nanoimprint
chr20	58888390	58890146	GNAS	4392	nanoimprint
chr1	64419	65418	OR4F5	14825	promoter
chr1	451679	452678	OR4F29	31275	promoter
chr1	686655	687654	OR4F16	15079	promoter
chr1	922923	923922	SAMD11	28706	promoter
chr1	959257	960256	NOC2L	24517	promoter
chr1	959584	960583	KLHL17	24023	promoter
chr1	965482	966481	PLEKHN1	25284	promoter
chr1	982094	983093	PERM1	28208	promoter
chr1	1000098	1001097	HES4	24149	promoter
chr1	1012497	1013496	ISG15	4053	promoter
chr1	1019120	1020119	AGRN	329	promoter
chr1	1074307	1075306	RNF223	40020	promoter
chr1	1116090	1117089	C1orf159	26062	promoter
chr1	1172880	1173879	TTLL10	26693	promoter
chr1	1206593	1207592	TNFRSF18	11914	promoter
chr1	1214154	1215153	TNFRSF4	11918	promoter
chr1	1232002	1233001	SDF4	24188	promoter
chr1	1231237	1232236	B3GALT6	17978	promoter
chr1	1246723	1247722	C1QTNF12	32308	promoter
chr1	1273855	1274854	UBE2J2	19268	promoter
chr1	1279436	1280435	SCNN1D	10601	promoter
chr1	1307597	1308596	PUSL1	26914	promoter
chr1	1307931	1308930	ACAP3	16754	promoter
chr1	1324661	1325660	INTS11	26052	promoter
chr1	1323802	1324801	CPTP	28116	promoter
chr1	1330280	1331279	TAS1R3	15661	promoter
chr1	1349419	1350418	DVL1	3084	promoter
chr1	1358556	1359555	MXRA8	7542	promoter
chr1	1375208	1376207	AURKAIP1	24114	promoter
chr1	1399336	1400335	CCNL2	20570	promoter
chr1	1407294	1408293	MRPL20	14478	promoter
chr1	1421277	1422276	ANKRD65	42950	promoter
chr1	1424871	1425870	TMEM88B	37099	promoter
chr1	1434690	1435689	VWA1	30910	promoter
chr1	1448689	1449688	ATAD3C	32151	promoter
chr1	1470765	1471764	ATAD3B	24007	promoter
chr1	1511162	1512161	ATAD3A	25567	promoter
chr1	1540625	1541624	TMEM240	25186	promoter
chr1	1574864	1575863	SSU72	25016	promoter
chr1	1600136	1601135	FNDC10	42951	promoter
chr1	1614500	1615499	MIB2	30577	promoter
chr1	1631173	1632172	MMP23B	7171	promoter
chr1	1659005	1660004	CDK11B	1729	promoter
chr1	1692796	1693795	SLC35E2B	33941	promoter
chr1	1724358	1725357	CDK11A	1730	promoter
chr1	1778471	1779470	NADK	29831	promoter
chr1	1891088	1892087	GNB1	4396	promoter
chr1	1914260	1915259	CALML6	24193	promoter
chr1	1919280	1920279	TMEM52	27916	promoter
chr1	2003787	2004786	CFAP74	29368	promoter
chr1	2018345	2019344	GABRD	4084	promoter
chr1	2049411	2050410	PRKCZ	9412	promoter
chr1	2194773	2195772	FAAP20	26428	promoter
chr1	2227319	2228318	SKI	10896	promoter
chr1	2391555	2392554	MORN1	25852	promoter
chr1	2390841	2391840	RER1	30309	promoter
